                             Scatter plot source data (points within radius^2<=3 of origin)

            x              y
-0.4775799188   0.0221006402
 0.2409068434  -0.2573901429
-0.8050107695   0.6992047995
 0.8168654084   0.0184480433
 -0.675377569  -0.8145832094
 1.3175369218   0.8674813846
 0.5395686722   0.3534813802
-0.8686322587  -0.7429764571
 1.3064487868   0.4218851757
 0.5145098877   0.5257705797
 0.8328374041   1.1732699532
 -0.436719352  -0.8047914303
 0.7065177866   0.9927012258
-0.4448589809  -1.1817770746
-0.4381110035    0.940862695
 0.1781336299  -0.5829137957
 0.4196896198  -0.7224635415
 0.3255823309  -0.7731454338
 0.2348667656  -0.3335688246
-0.3271145129  -0.3713932452
 1.5894721797  -0.5092510884
-0.9846858058   0.3487298097
-0.4484539149  -1.2791390598
 1.0709969263   0.8797006712
 0.7854688168   1.3891133047
-0.1171278881   0.6264389799
   0.50457635   1.0627665636
 1.2168214612   1.0909343093
-0.9639577885  -0.4707723316
-0.8200227687   0.5597921467
-0.9197851274  -1.0341048912
 0.4792906817  -0.6615409584
  0.518035351   0.5022817121
-0.5262945777   0.0743732354
-1.2781542152  -0.5398311273
-1.2440061939  -0.9201931265
 0.5178638038   0.9583258682
-0.3282610317    0.577788295
-0.6539691796  -0.0882498846
-1.1898519463   0.5193573043
 0.9764231249     0.15075979
 0.1031932353   0.0351158091
-0.0946432722     1.35593359
-1.0748987528   0.5296775463
-0.2812985808   0.2560360375
 0.5542353193  -0.3550060031
-0.5605773992  -0.0685340994
 0.7749234939  -1.1609627266
 0.9615789209   0.7421651295
-0.1114351414  -0.9643847919
-0.5233133755  -0.2012913279
-0.2058802114  -0.1386736715
-1.3261648925   0.1733613268
-0.3391746227  -0.7735800539
-1.1754123413   0.9942302794
-0.1938841759  -0.5170606435
-1.2303407409  -0.2531417154
-0.2164753836   0.4103692722
 0.8734879926   1.3451486244
 0.0281052164   1.2368871597
 0.5410834853   0.9488730026
 0.0937028934    0.896676669
 0.2549305359  -1.6917135085
 1.0790701211   0.2761892727
 0.8587868345  -0.4594219445
 0.6201589906  -1.0188436589
 0.7802952047  -0.4657484347
-1.1823192921    0.736409482
 0.0309726372   0.2840796268
-0.6742206259  -0.4785361255
 0.4395307407   0.2609353008
 0.5049565579  -1.2081679571
-0.3132239405  -1.2287752782
-0.7238175635   0.7737931184
-0.6564860785   0.0202655953
  0.759543438   -0.976423935
 0.4680472586   0.0939064431
-1.3606673769  -0.8527772603
 0.9738299879   0.5270826695
 0.5370270202  -0.8717497605
 0.7626268655    0.865288492
-0.3958903687   1.8184979782
  -1.12905132    1.158295261

                                        Summary of generated scatter-plot points

                                                  The MEANS Procedure

 Variable        N           Mean        Std Dev        Minimum        Maximum
 -----------------------------------------------------------------------------
 x              83     -0.0075259      0.7627177     -1.3606674      1.5894722
 y              83      0.0568904      0.7935816     -1.6917135      1.8184980
 -----------------------------------------------------------------------------

